--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Sat Oct  7 19:08:27 2023
--------------------------------------------------------------------------------

{'name': 'extensionkitservice', 'pid': 5940, 'username': 'shubhamborse', 'vms': 398705.296875}
{'name': 'WeatherWidget', 'pid': 5941, 'username': 'shubhamborse', 'vms': 398978.515625}
{'name': 'StocksWidget', 'pid': 5942, 'username': 'shubhamborse', 'vms': 398950.015625}
{'name': 'ScreenTimeWidgetExtension', 'pid': 5943, 'username': 'shubhamborse', 'vms': 398996.140625}
{'name': 'CalendarWidgetExtension', 'pid': 5944, 'username': 'shubhamborse', 'vms': 398723.96875}
{'name': 'WorldClockWidget', 'pid': 5945, 'username': 'shubhamborse', 'vms': 398733.046875}
{'name': 'VTDecoderXPCService', 'pid': 6002, 'username': 'shubhamborse', 'vms': 399534.28125}
{'name': 'coreautha', 'pid': 6003, 'username': 'shubhamborse', 'vms': 399323.765625}
{'name': 'ProtectedCloudKeySyncing', 'pid': 6021, 'username': 'shubhamborse', 'vms': 398662.8125}
{'name': 'zoom.us', 'pid': 6026, 'username': 'shubhamborse', 'vms': 401302.328125}
{'name': 'caphost', 'pid': 6027, 'username': 'shubhamborse', 'vms': 399671.609375}
{'name': 'ThemeWidgetControlViewService', 'pid': 6032, 'username': 'shubhamborse', 'vms': 399541.671875}
{'name': 'CptHost', 'pid': 6035, 'username': 'shubhamborse', 'vms': 399550.5625}
{'name': 'aomhost', 'pid': 6036, 'username': 'shubhamborse', 'vms': 399722.28125}
{'name': 'PlugInLibraryService', 'pid': 6121, 'username': 'shubhamborse', 'vms': 398512.125}
{'name': 'Electron', 'pid': 6122, 'username': 'shubhamborse', 'vms': 1547409.53125}
{'name': 'chrome_crashpad_handler', 'pid': 6124, 'username': 'shubhamborse', 'vms': 431254.390625}
{'name': 'Code Helper (GPU)', 'pid': 6125, 'username': 'shubhamborse', 'vms': 431653.546875}
{'name': 'VTDecoderXPCService', 'pid': 6126, 'username': 'shubhamborse', 'vms': 399390.359375}
{'name': 'Code Helper', 'pid': 6127, 'username': 'shubhamborse', 'vms': 431492.890625}
{'name': 'Code Helper (Renderer)', 'pid': 6128, 'username': 'shubhamborse', 'vms': 1557328.15625}
{'name': 'Code Helper (Plugin)', 'pid': 6147, 'username': 'shubhamborse', 'vms': 1546932.875}
{'name': 'Code Helper', 'pid': 6148, 'username': 'shubhamborse', 'vms': 1546943.28125}
{'name': 'Code Helper', 'pid': 6149, 'username': 'shubhamborse', 'vms': 1546943.921875}
{'name': 'Code Helper', 'pid': 6151, 'username': 'shubhamborse', 'vms': 1546914.078125}
{'name': 'colorsync.useragent', 'pid': 6209, 'username': 'shubhamborse', 'vms': 398672.625}
{'name': 'com.apple.ColorSyncXPCAgent', 'pid': 6210, 'username': 'shubhamborse', 'vms': 398494.03125}
{'name': 'Notes', 'pid': 6229, 'username': 'shubhamborse', 'vms': 400371.546875}
{'name': 'com.apple.Notes.LPPreviewGenerator', 'pid': 6230, 'username': 'shubhamborse', 'vms': 398957.09375}
{'name': 'GroupSessionService', 'pid': 6231, 'username': 'shubhamborse', 'vms': 399146.21875}
{'name': 'MTLCompilerService', 'pid': 6232, 'username': 'shubhamborse', 'vms': 399505.421875}
{'name': 'AppleSpell', 'pid': 6243, 'username': 'shubhamborse', 'vms': 398891.4375}
{'name': 'QLPreviewGenerationExtension', 'pid': 6258, 'username': 'shubhamborse', 'vms': 398733.34375}
{'name': 'SpeechSynthesisServerXPC', 'pid': 6259, 'username': 'shubhamborse', 'vms': 398690.8125}
{'name': 'ThemeWidgetControlViewService', 'pid': 6327, 'username': 'shubhamborse', 'vms': 399450.25}
{'name': 'Google Chrome Helper (Renderer)', 'pid': 6337, 'username': 'shubhamborse', 'vms': 1557346.546875}
{'name': 'mdworker_shared', 'pid': 6344, 'username': 'shubhamborse', 'vms': 398677.265625}
